"SourcePath","Name","Extension","PhotoDate","YearMonth","CutoffDate","IsOlderThanCutoff","PlannedTargetDir","PlannedAction"
"C:\src\pslab\data\in\IMG_20170512_145953489.jpg","IMG_20170512_145953489.jpg",".jpg","12-05-2017 14:59:53","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170513_180455471.jpg","IMG_20170513_180455471.jpg",".jpg","13-05-2017 18:04:55","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170514_101749824.jpg","IMG_20170514_101749824.jpg",".jpg","14-05-2017 10:17:49","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170514_151153159_BURST003.jpg","IMG_20170514_151153159_BURST003.jpg",".jpg","14-05-2017 15:11:53","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170514_151158829_BURST001.jpg","IMG_20170514_151158829_BURST001.jpg",".jpg","14-05-2017 15:11:59","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170526_181746526.jpg","IMG_20170526_181746526.jpg",".jpg","26-05-2017 18:17:46","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170526_181803000.jpg","IMG_20170526_181803000.jpg",".jpg","26-05-2017 18:18:03","2017-05","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-05","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170605_142017090.jpg","IMG_20170605_142017090.jpg",".jpg","05-06-2017 14:20:17","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170605_142024476.jpg","IMG_20170605_142024476.jpg",".jpg","05-06-2017 14:20:25","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170605_142030182.jpg","IMG_20170605_142030182.jpg",".jpg","05-06-2017 14:20:30","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170605_142038412.jpg","IMG_20170605_142038412.jpg",".jpg","05-06-2017 14:20:38","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170610_193534177.jpg","IMG_20170610_193534177.jpg",".jpg","10-06-2017 19:35:34","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170610_193537054.jpg","IMG_20170610_193537054.jpg",".jpg","10-06-2017 19:35:37","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170618_201825308.jpg","IMG_20170618_201825308.jpg",".jpg","18-06-2017 20:18:25","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170623_213111884.jpg","IMG_20170623_213111884.jpg",".jpg","23-06-2017 21:31:12","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170623_213120832.jpg","IMG_20170623_213120832.jpg",".jpg","23-06-2017 21:31:21","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170623_213124164.jpg","IMG_20170623_213124164.jpg",".jpg","23-06-2017 21:31:24","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170623_213134969.jpg","IMG_20170623_213134969.jpg",".jpg","23-06-2017 21:31:35","2017-06","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-06","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170716_160345305.jpg","IMG_20170716_160345305.jpg",".jpg","16-07-2017 16:03:45","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170730_133216755.jpg","IMG_20170730_133216755.jpg",".jpg","30-07-2017 13:32:16","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_203717425.jpg","IMG_20170731_203717425.jpg",".jpg","31-07-2017 20:37:17","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_203721496.jpg","IMG_20170731_203721496.jpg",".jpg","31-07-2017 20:37:21","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_203939565.jpg","IMG_20170731_203939565.jpg",".jpg","31-07-2017 20:39:39","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_203958894.jpg","IMG_20170731_203958894.jpg",".jpg","31-07-2017 20:39:58","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_204134564.jpg","IMG_20170731_204134564.jpg",".jpg","31-07-2017 20:41:34","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_204146014.jpg","IMG_20170731_204146014.jpg",".jpg","31-07-2017 20:41:46","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_204149519.jpg","IMG_20170731_204149519.jpg",".jpg","31-07-2017 20:41:49","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_204157321_BURST000_COVER_TOP.jpg","IMG_20170731_204157321_BURST000_COVER_TOP.jpg",".jpg","31-07-2017 20:41:57","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_204157321_BURST001.jpg","IMG_20170731_204157321_BURST001.jpg",".jpg","31-07-2017 20:41:57","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
"C:\src\pslab\data\in\IMG_20170731_204631880_HDR.jpg","IMG_20170731_204631880_HDR.jpg",".jpg","31-07-2017 20:46:32","2017-07","01-08-2025 00:00:00","True","C:\src\pslab\data\out\2017\2017-07","CopyToArchive"
